CODE,NUTS3,POPULATION,POP_DENS,POP_60,P_POP_60,P_MALES,POP 014,P_POP_0_14,POP 1529,P_POP_15_29,POP 3044,P_POP_30_44,POP 4559,P_POP_45_59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE_AREA,COVID19_D,COVID19_CCONF,DURATION_LD,LAG_LD,NO2,WIND,TEMP,NTI,PRESSURE,PRECIPITATION,SOLAR_RAD,LAI,PM25
FR,FRJ15,482708,117,157786,32.68767,47.56043,78324,16.22596,71270,14.76462,79095,16.38568,96233,19.93607,3,222486,346534,4142.59,36,455,55,53,0.99423,5.34156,10.56779,15.25484,0.95836,71.65305,14609.48459,2.17441,10.56779
FR,FRL01,162179,23,55102,33.97604,48.86576,25294,15.59635,21608,13.32355,25817,15.91883,34358,21.18523,1,76041,126646,6975.32,13,316,55,53,0.94574,3.26086,8.7314,4.8502,0.82065,79.13793,15085.75567,1.35867,8.7314
FR,FRL02,142025,25,44826,31.56205,49.01179,22988,16.18588,19974,14.06372,24497,17.24837,29740,20.93998,2,65779,134526,5674.31,20,131,55,53,1.52243,3.59051,5.3509,6.1161,0.66373,96.68988,14820.19564,1.27768,5.3509
FR,FRL03,1082340,252,333602,30.82229,47.2347,170550,15.75753,166538,15.38685,193758,17.90177,217892,20.13157,0,509159,761170,4285.31,193,4597,55,53,1.52101,3.0888,9.41443,11.97503,0.90621,76.95233,15173.5423,1.3957,9.41443
FR,FRL04,2039219,389,537282,26.34744,47.91707,360175,17.6624,359079,17.60865,378102,18.54151,404581,19.84,2,898232,1008665,5238.35,582,15711,55,53,1.92842,4.94888,14.45058,26.87556,1.17181,56.69264,14896.76808,1.16559,14.45058
FR,FRL05,1078175,179,354080,32.84068,48.03246,167432,15.5292,155359,14.40944,181652,16.8481,219652,20.37257,4,489533,706882,6024.98,144,2969,55,53,1.75517,4.1583,13.29875,16.537,1.11505,64.37105,15139.49248,1.52193,13.29875
FR,FRL06,564814,158,161822,28.65049,47.95685,100366,17.76974,88979,15.75368,97479,17.2586,116168,20.56748,2,248041,298368,3568.58,41,1381,55,53,1.71954,3.66715,12.88548,17.89565,1.03573,68.43393,14709.69402,1.31828,12.88548
FR,FRM01,159256,40,48101,30.20357,48.30713,23936,15.02989,22461,14.10371,30215,18.9726,34543,21.69023,5,68694,116327,4030.69,48,318,,,0.68636,4.4244,13.33921,5.32793,1.17106,59.73672,15287.13477,2.23035,13.33921
FR,FRM02,180843,38,54044,29.88449,48.40552,27188,15.03404,28850,15.95306,33417,18.47846,37344,20.64996,5,80276,129305,4713.24,11,204,,,0.89514,4.38163,13.39791,5.72304,1.1575,68.32005,15110.11549,1.85495,13.39791
DE,DE111,637199,3076,146680,23.0195,49.36951,83654,13.12839,129984,20.39928,149217,23.41765,127664,20.03519,5,333253,316697,205.06,65,2106,46,54,5.13768,2.57708,9.17205,52.37153,0.93972,59.82205,10916.2105,1.58082,9.17205
DE,DE112,392312,636,102231,26.0586,49.15807,58281,14.85578,66305,16.90109,76193,19.42153,89302,22.763,6,183283,183998,611.16,47,1775,46,54,5.13768,2.72526,8.5797,29.31944,0.91385,65.33259,10993.23426,1.81699,8.5797
DE,DE113,535516,836,142189,26.55177,48.87996,74817,13.97101,93298,17.42208,101330,18.92194,123882,23.1332,5,254914,256974,634.44,120,2182,46,54,4.57618,2.63013,8.75396,33.52161,0.93402,68.73994,11009.6006,1.89363,8.75396
DE,DE114,257363,401,72272,28.08174,48.82792,35723,13.88039,43375,16.85363,45829,17.80714,60164,23.3771,3,119444,121804,635.39,39,996,46,54,4.57618,3.17831,8.02412,21.20437,0.89349,80.31525,11038.09466,2.04266,8.02412
DE,DE115,546413,796,141351,25.86889,49.31325,80249,14.68651,92620,16.95055,106782,19.54236,125411,22.95169,5,258156,258328,679.32,72,2162,46,54,5.13768,2.56248,9.45176,40.78175,0.95989,61.08282,10904.91472,1.44925,9.45176
